,Incident,Location,Occured,Disposition,Notes,temp_inc
1482,larceny/theft,illinois institute of technology : mies campus : academic/administrative buildings : crown hall – 3360 s state,10/10/2017 9:00,closed pending adtl info   notes: a student came to farr hall to file a theft report.,a student came to farr hall to file a theft report.,THEFT
1483,injured/sick person : non-emergency medical transport,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10w 35th,10/10/2017 5:00,cleared – no further action   notes: iitpsd responded to the health and awareness center for a non-emergency medical transport.,iitpsd responded to the health and awareness center for a non-emergency medical transport.,MEDICAL INCIDENT
1484,disturbance,illinois institute of technology : mies campus : academic/administrative buildings : keating sports center – 3040 s wabash,10/10/2017 6:30,housing notified   notes: iitpsd responded to keating hall for a report of a disturbance.       thank you!,iitpsd responded to keating hall for a report of a disturbance.       thank you!,DISTURBANCE
1485,alarm : fire,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – south,10/9/2017 2:00,cleared – no further action   notes: iitpsd responded to msv for an actived fire alarm.,iitpsd responded to msv for an actived fire alarm.,ALARM
1486,administrative information,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,10/9/2017 3:00,cleared – no further action   notes: iitpsd confiscated a hookah device from a group of students at msv.       thank you,iitpsd confiscated a hookah device from a group of students at msv.       thank you,OTHER
1487,alarm : fire,illinois institute of technology : mies campus : residential buildings : state street village :ssv middle – 3333 s state,10/7/2017 9:50,cleared – no further action   notes: iitpsd responded to ssvm for an activated fire alarm.,iitpsd responded to ssvm for an activated fire alarm.,ALARM
1488,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : academic/administrative buildings : keating sports center – 3040 s wabash,10/7/2017 1:35,cleared – no further action   notes: iitpsd conducted a non emergency medical transport of a student to mercy hospital.,iitpsd conducted a non emergency medical transport of a student to mercy hospital.,MEDICAL INCIDENT
1489,damage to property,illinois institute of technology : mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,10/7/2017 3:42,gone on arrival   notes: iitpsd responded to a call of damage to property at mtcc.,iitpsd responded to a call of damage to property at mtcc.,DAMAGE TO PROPERTY
1490,injured/sick person : emergency medical transport/ambulance : general public/visitor,illinois institute of technology : mies campus : academic/administrative buildings : farr hall -3300 s michigan,10/7/2017 8:48,cleared – no further action   notes: iitpsd responded to a call of a member of the general public that was observed on the ground in front of farr hall.,iitpsd responded to a call of a member of the general public that was observed on the ground in front of farr hall.,OTHER
1491,damage to property,illinois institute of technology : mies campus : residential buildings : state street village :ssv middle – 3333 s state,10/8/2017 7:27,notes: iitpsd took a damage to property report at ssvm.       thank you,iitpsd took a damage to property report at ssvm.       thank you,DAMAGE TO PROPERTY
1492,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,10/5/2017 12:30,cleared – no further action   notes: iitpsd confiscated marijuana from a student at msv.,iitpsd confiscated marijuana from a student at msv.,NARCOTICS
1493,accident : motor vehicle,illinois institute of technology : mies campus : other : off campus location,10/5/2017 10:00,cleared – no further action   notes: iitpsd was involved in a minor vehicle accident.,iitpsd was involved in a minor vehicle accident.,ACCIDENT
1494,larceny/theft,illinois institute of technology : mies campus : other,10/5/2017 10:25,cleared – no further action   notes: iitpsd took a report from a contractor that reported his wallet was taken from vehicle.,iitpsd took a report from a contractor that reported his wallet was taken from vehicle.,THEFT
1495,suspicious activity,illinois institute of technology : mies campus : academic/administrative buildings : farr hall -3300 s michigan,10/5/2017 12:30,cleared – no further action   notes: iitpsd took a report for an iit student reporting suspicious activity.       thank you,iitpsd took a report for an iit student reporting suspicious activity.       thank you,SUSPICION
1496,larceny/theft,illinois institute of technology : vandercook – 3140 s federal,10/4/2017 7:00,cleared – no further action   notes: iitpsd responded to farr hall for a theft report for a vandercook student.       thank you,iitpsd responded to farr hall for a theft report for a vandercook student.       thank you,THEFT
1497,larceny/theft : from motor vehicle,illinois institute of technology : mies campus : general parking locations : a5 lot – 3141 s michigan,10/3/2017 10:00,closed – no further action possible   notes: iitpsd took a delayed theft from motor vehicle report for an iit student.,iitpsd took a delayed theft from motor vehicle report for an iit student.,THEFT
1498,lost/found property : lost property,illinois institute of technology : mies campus : other : off campus location,10/3/2017 5:30,cleared – no further action   notes: iitpsd took a delayed lost property report.       thank you,iitpsd took a delayed lost property report.       thank you,OTHER
1499,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,10/2/2017 2:15,notes: iitpsd gave a non-emergency escort to an iit student going to mercy hospital.,iitpsd gave a non-emergency escort to an iit student going to mercy hospital.,MEDICAL INCIDENT
1500,miscellaneous incident,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,10/2/2017 3:14,"cleared – no further action   notes: iitpsd responded to the msv, fowler hall, basement to assist with a student with a bicycle issue.","iitpsd responded to the msv, fowler hall, basement to assist with a student with a bicycle issue.",OTHER
1501,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : state street village :ssv middle – 3333 s state,10/2/2017 9:30,housing notified   notes: iitpsd responded to ssvm for a narcotics offense.      thank you,iitpsd responded to ssvm for a narcotics offense.      thank you,NARCOTICS
